,repo,description,owner,version,wc_url,updated_at,stars,forks,screenshot_url,samplecode_url,supported_browsers,rating,comment,external,status
704,imported-template,"Custom element that let's you load template from external file into your document, and take full control over loaded <script>s and <link rel=""import"">s. Thanks to HTML Imports - caching, script execution, etc. is completely native.",Juicy,1.5.0,,2017-06-20 06:08:07,13,4,,,,,,,
705,juicy-filedrop,FileDrop panel,Juicy,1.0.5,,2017-06-02 16:05:47,6,1,,,,,,,
706,web-socket,Polymer component to create web sockets.,gerard-payne,v1.0.1,,2017-04-27 18:53:55,1,0,,,,,,,
707,base-layout,acordeonl base layout ,acordeonl,v1.0.3,,2017-04-21 18:16:02,0,0,,,,,,,
708,live-photo,Live Photo from Apple implemented in Polymer,jorgecasar,1.0.0,,2017-05-04 22:53:43,1,1,,,,,,,
709,vaadin-icons,Vaadin Icons is a collection of 600+ unique icons designed for web applications,vaadin,v4.1.0,,2017-05-27 22:48:55,34,10,,,,,,,
710,social-button,Social Buttons as Web Components,1000ch,v0.3.0,,2017-07-13 11:01:07,14,0,,,,,,,
711,iron-swiper,Polymer 1.0 element that wraps Swiper.js,safetychanger,1.0.4,,2017-04-13 10:26:09,12,12,,,,,,,
712,relative-time,a Polymer 2 element to show (relative) time,Juravenator,0.1.4,,2017-04-06 16:32:48,0,0,,,,,,,
713,grain-responsive-container,,daKmoR,v0.8.2,,2017-05-03 20:57:37,1,0,,,,,,,
714,pf-pageindicator,A Polymer 2.0 based custom elements that can be used to indicate the current page in a stack of pages (iron-pages),PFElements,0.1.5,,2017-05-02 11:02:15,3,1,,,,,,,
715,visual-radio,Visual radio with great looks made with polymer 2.0,miguelsmuller,0.0.2,,2017-04-07 11:34:44,2,0,,,,,,,
716,google-youtube,YouTube video playback web component,GoogleWebComponents,v1.3.0,,2017-07-07 01:27:36,96,40,,,,,,,
717,http-ping,A web component without GUI to test connection to a web site,telecomsante,v1.0.0,,2017-01-20 09:26:19,2,1,,,,,,,
718,pf-calendar-events-data,A Polymer 2.0 custom element to get the events from Firebase. To be used in conjunction with pf-calendar-events element,PFElements,0.1.0,,2017-04-19 12:48:21,1,0,,,,,,,
719,pf-calendar,"Polymer 2.0 based custom element. A high level wrapper custom element to give you broader control for Managing Calendar of events, appointments or meetings. It uses multiple pf custom elements (pf-calendar-events and pf-calendar-events-data)",PFElements,0.1.1,,2017-06-01 01:48:36,4,0,,,,,,,
720,radiant-router,A router for Polymer that syncs the URL to a JavaScript object,MajorBreakfast,v0.9.4,,2017-05-12 12:04:05,1,0,,,,,,,
721,type-writer,display text content with type-writer effect,PolymerEl,v0.1.4,,2017-06-02 02:51:36,2,0,,,,,,,
722,simple-carousel,Simple carousel component for Polymer 1.0,fjsc,1.1.0,,2017-05-21 16:23:20,2,4,,,,,,,
723,materializecss-styles,Webcomponent version of materializecss styles / class structures.,LRNWebComponents,0.0.5,,2017-04-18 13:10:38,0,0,,,,,,,
724,isw-toolbar,Material Design Polymer 2.0 Toolbar.,IswPolymerElements,1.0.6,,2017-04-20 11:01:47,0,0,,,,,,,
725,lrndesign-panelcard,A simple material panel card with color options.,LRNWebComponents,0.0.14,,2017-04-18 13:14:37,0,0,,,,,,,
726,tripod-hero-marquee,"A flexible, generic hero banner web component",photoshelter,v1.0.1,,2017-04-25 14:38:10,1,0,,,,,,,
727,lrndesign-contactcard,A contact card for visualizing an individual,LRNWebComponents,0.0.2,,2017-05-24 16:07:52,0,0,,,,,,,
728,app-pages-loader,Component to load dinamically pages and keep a reduced DOM in huge apps.,jorgecasar,0.1.0,,2017-05-29 19:34:47,2,0,,,,,,,
729,brainy-tree,A Polymer 1.x data tree element,OWOX,0.0.15,,2017-05-17 18:33:18,0,0,,,,,,,
730,tk-confirm-dialog,弹出验证窗口,cloudgz,v0.3.2,,2017-02-28 03:23:40,1,0,,,,,,,
731,google-signin,Google Sign-in web component,GoogleWebComponents,v1.3.7,,2017-07-12 17:43:49,248,85,,,,,,,
732,paper-locale-input,material design input component for dealing with localized data (e.g. currency),PolymerEl,v0.7.3,,2017-01-10 22:57:01,2,0,,,,,,,
733,air-horner,A simple air horn custom element,PaulKinlan,0.4.2,,2017-05-24 17:39:10,12,0,,,,,,,
734,pdf-viewer,A pdf viewer webcomponent,telecomsante,1.0.1,,2017-04-11 13:19:13,5,1,,,,,,,
735,gfs-carrier-info,,GlobalFreightSolutions,v1.0.0,,2017-03-23 09:45:21,1,0,,,,,,,
736,gfs-supported-carriers,,GlobalFreightSolutions,v1.0.0,,2017-03-23 09:45:31,1,0,,,,,,,
737,gfs-selected-droppoint,,GlobalFreightSolutions,v1.0.0,,2017-03-23 09:45:51,1,0,,,,,,,
738,salte-dialog,A material dialog with a few extra conveniences.,salte-io,1.0.1,,2017-04-09 23:21:49,1,1,,,,,,,
739,iron-touch-prevent,A polymer element that adds a class in a component to create specific behaviors on touch screens,Redbility,1.0.0,,2017-01-24 15:08:48,0,0,,,,,,,
740,s-checkbox,Up-to-date fork of Material Design checkbox <paper-checkbox> with new features.,StartPolymer,v1.4.2-7,,2017-05-04 07:19:18,2,1,,,,,,,
741,emoji-rain,☔️✨ A Polymer element that makes it rain emoji ,notwaldorf,v1.0.4,,2017-07-18 02:27:36,130,14,,,,,,,
742,emoji-selector,✏️✨ A Polymer paper-input-addon element that adds an emoji keyboard inputs,notwaldorf,v1.1.1,,2017-07-08 16:34:41,37,6,,,,,,,
743,google-ads,Polymer elements to show Google ads,CaptainCodeman,v0.0.1,,2017-05-14 16:07:39,1,1,,,,,,,
744,ros-topic,A Polymer element for publishing and subscribing to topics using roslibjs.,jstnhuang,v1.0.0,,2017-04-18 00:07:08,0,0,,,,,,,
745,ros-action-client,A Polymer element for the roslibjs ActionClient.,jstnhuang,v1.0.0,,2016-08-23 02:04:38,0,0,,,,,,,
746,hax-editable,A tag that makes other tags able to be edited.,LRNWebComponents,0.0.3,,2017-04-04 19:38:21,0,0,,,,,,,
747,hax-content,"A completely headless, web-based authoring experience.",LRNWebComponents,0.0.5,,2017-04-19 15:26:43,0,1,,,,,,,
748,lrndesign-contentblock,A simple content block,LRNWebComponents,0.0.3,,2017-04-25 16:45:11,1,0,,,,,,,
749,lrndesign-blockquote,A simple blockquote element for styling a quote.,LRNWebComponents,0.0.8,,2017-04-03 19:19:17,0,0,,,,,,,
750,wikipedia-query,Simple wrapper to perform a wikipedia query and present the results,LRNWebComponents,0.0.1,,2017-05-03 12:41:37,0,0,,,,,,,
751,oer-schema,An OER Schema webcomponent to be able to layer on oerschema.,LRNWebComponents,0.0.1,,2017-04-07 15:54:49,0,0,,,,,,,
752,lrn-page,A page wrapper to designate that this page of material is for learning.,LRNWebComponents,0.0.1,,2017-04-07 15:55:09,0,0,,,,,,,
753,hax-editbar,Edit bar for integrating in-place editing system directly into other tags.,LRNWebComponents,0.1.0,,2017-04-04 19:37:53,0,1,,,,,,,
754,lrndesign-drawer,"A simple, accessible button mapped to an off canvas app drawer.",LRNWebComponents,0.0.5,,2017-03-31 13:33:53,0,0,,,,,,,
755,lrndesign-card,A card based presentation,LRNWebComponents,0.0.3,,2017-03-31 17:13:32,0,0,,,,,,,
756,lrn-content,A container wrapper for saying material has an educational purpose.,LRNWebComponents,0.0.1,,2017-07-07 04:19:10,2,0,,,,,,,
757,nodecg-toast,An implementation of paper-toast designed to work well in NodeCG dashboard panels.,NodeCGElements,v1.0.0,,2017-05-31 21:06:23,0,0,,,,,,,
758,paper-search-input,"An element providing a paper-input-like search, inspired by the search element on https://customelements.io",vic10us,v1.0.7,,2017-02-06 18:50:27,4,3,,,,,,,
759,wistia-video,Wistia Video Webcomponent,vic10us,v1.0.4,,2016-11-04 14:38:33,1,0,,,,,,,
760,offthread-image,Draw an image onto a canvas using a worker.  🎯,sharedlabs,1.2.1,,2017-02-09 17:53:29,2,2,,,,,,,
761,polymer-dragula,Polymer wrapper of dragula drag and drop library,ergo,0.1.1,,2017-06-27 17:19:05,26,6,,,,,,,
762,nebula-checkbox,A customizable checkbox control.,arsnebula,v2.0.1,,2017-03-02 04:09:40,1,0,,,,,,,
763,file-dropzone,Polymer File Dropzone Element,woutervroege,v1.1.1,,2017-06-27 13:18:02,2,1,,,,,,,
764,play-pause-button,Play/Pause Button Element,woutervroege,v1.0.1,,2017-03-17 21:31:30,0,0,,,,,,,
765,super-splitter,,super-elements,v1.0.0,,2016-08-26 06:33:50,0,0,,,,,,,
766,lrndesign-avatar,A design element for presenting an avatar,LRNWebComponents,0.0.3,,2017-04-12 21:22:18,0,0,,,,,,,
767,polymer-tinymce,Tinymce html editor as polymer element.,JaySunSyn,1.0.6,,2017-07-12 02:53:12,17,11,,,,,,,
768,deck-gl,deck-gl is a Polymer 1.0 element that wraps deck.gl and luma.gl to render powerful webGL-based geospatial visualization.,PolymerVis,1.0.0,,2017-04-20 17:07:21,3,0,,,,,,,
769,paper-autocomplete-input,paper-input with personalizable autocompletion feature,NeilujD,2.0.5,,2017-07-03 20:51:58,4,0,,,,,,,
770,boxes-distributor,This element try to organize boxes in a truck in the most efficient layout,klarkc,v1.0.0,,2017-04-12 10:25:42,2,0,,,,,,,
771,paper-input-location,A Material Design input with location autocomplete (Polymer 1.x),Koada-os,2.0.0,,2017-05-03 16:07:05,6,3,,,,,,,
772,juicy-jsoneditor,Polymer Element that wraps josdejong/jsoneditor and adds two-way binding for edited JSON.,Juicy,1.1.1,,2017-06-06 21:08:01,23,6,,,,,,,
773,fortune-cookie,Element can be used to set and read cookies.,IngressoRapidoWebComponents,v2.0.1,,2016-10-28 16:01:21,1,2,,,,,,,
774,spinner-backdrop,Shows a `paper-spinner` and a backdrop overlay with a great fade-in/fade-out animation to entire container. Perfect for page route transition!,IngressoRapidoWebComponents,v1.1.0,,2016-11-10 04:20:29,4,2,,,,,,,
775,fs-signin,Polymer element that manages FamilySearch authentication state,fs-webcomponents,2.0.1,,2017-03-09 22:37:21,0,0,,,,,,,
776,fs-person-families,Polymer element that displays a person's family,fs-webcomponents,2.2.1,,2017-03-09 22:35:43,0,0,,,,,,,
777,fs-person-behavior,Polymer behavior for loading a person,fs-webcomponents,2.0.1,,2017-03-09 22:40:19,0,0,,,,,,,
778,qr-code,Web Component for generating QR codes,educastellano,v0.1.9,,2017-07-10 10:02:03,391,70,,,,,,,
779,presence-fire,An element that saves the presence of the user at a route and gets all other users at that route,convoo,0.0.1,,2017-03-23 21:00:07,2,0,,,,,,,
780,cordova-push-element,,cordova-elements,v0.0.1,,2016-08-12 13:26:02,0,0,,,,,,,
781,nebula-focus-behavior,A Polymer mixin to support focus-related properties.,arsnebula,v2.0.3,,2017-05-29 23:53:39,2,0,,,,,,,
782,web-notification,A core element to interact with the Web Notifications API.,WebCoreElements,1.0.1,,2017-05-05 10:12:40,7,3,,,,,,,
783,gw2-coin-output,"Converts a coin string to gold, silver and copper values appended by the corresponding icon from Guild Wars 2.",rediche,v1.0.0,,2017-01-27 11:21:36,1,0,,,,,,,
784,rest-api,A Polymer element providing declarative data bindings to REST APIs,platosha,v0.1.0,,2017-03-20 23:14:57,21,4,,,,,,,
785,dropdown-plus,A simple dropdown for polymer 1.0+,paolobeltrame,v0.0.6,,2017-02-02 16:25:34,0,1,,,,,,,
786,paperfire-anon,An element to check anonymous authentication status,PaperfireElements,v0.5.1,,2017-04-14 16:35:03,2,0,,,,,,,
787,firebase-storage-upload,Polymer element to upload files to a firebase storage bucket,olivierlangelaar,v0.3.1,,2017-05-22 06:07:29,4,1,,,,,,,
788,mp-slider,mp-slider is a simple web component image slider,mpachnis,v0.1.3,,2017-03-30 12:26:54,3,1,,,,,,,
789,k-viewer-doc,"a simple document viewer , only for doc online. #iseng",k4ng,0.0.1,,2017-06-11 13:10:25,1,1,,,,,,,
790,socket-io,A polymer module for socket.io,daniel-cotton,v1.1.1,,2017-03-28 13:27:01,2,1,,,,,,,
791,x-pages,A lightweight content switcher built with web components.,emilbillberg,v0.5.0,,2017-01-18 07:42:05,1,0,,,,,,,
792,swiper-behavior,SwiperBehavior helps integrate the Swiper library within a Polymer component,ciampo,v1.1.4,,2017-07-11 23:01:07,2,5,,,,,,,
793,tk-form-dialog,A form dialog.,cloudgz,v0.1.2,,2017-04-04 17:26:03,4,0,,,,,,,
794,papyrus-details,Expandable/collapsible summary and details with animation,AqoviaElements,v1.0.6,,2017-02-10 14:22:31,0,0,,,,,,,
795,chrome-tabs,"A chrome-tabs component to emulate the chrome tabs bar, useful for electron browser apps",zedesk,v2.0.0,,2017-07-17 00:43:05,6,2,,,,,,,
796,vi-snackbar,Material Design Snackbar,Virtuvia,v1.1.0,,2017-05-15 08:09:56,3,0,,,,,,,
797,elasticlunr-js,,tomberek,0.9.5,,2016-12-30 18:54:08,0,0,,,,,,,
798,json-box,A webcomponent that converts its input string to an object that is returned through a property.,sbeleidy,0.0.1,,2016-12-13 05:05:16,1,0,,,,,,,
799,fabric-import,polymer fabric-import element,printminion,v1.7.6,,2017-02-17 23:24:26,0,0,,,,,,,
800,repeat-template,Webcomponent custom element that can be used to repeat internal dom elements,MichaelFBA,1.0.2,,2017-01-10 17:08:53,0,0,,,,,,,
801,lrnsys-behaviors,Behaviors for making standardized LRN components.,LRNWebComponents,1.0.1,,2017-04-03 17:51:48,0,0,,,,,,,
802,value-history,Record property changes with this handy little element.,jifalops,0.1.0,,2017-04-13 19:00:41,2,0,,,,,,,
803,flip-element,Element that supports include two sub-elements and fire a flip animation between then.,IngressoRapidoWebComponents,v1.2.1,,2017-01-19 16:47:29,3,0,,,,,,,
804,paper-video-controls,Material design controls for your video.,Inrego,1.0.8,,2017-07-12 10:49:11,4,2,,,,,,,
805,fs-person-summary,Polymer element that display a FamilySearch person's summary.,fs-webcomponents,2.0.1,,2017-03-09 22:37:46,0,0,,,,,,,
806,numbro-element,[Polymer 1.x] A CSS friendly element wrapper for the numbro.js library.,GeoloeG,1.0.8,,2017-04-18 20:34:18,8,2,,,,,,,
807,nebula-i18n,i18n localization with Airbnb Polyglot.,arsnebula,v2.0.1,,2017-03-02 03:51:05,2,0,,,,,,,
808,message-card,message card for acordeonl gui,acordeonl,v1.0.1,,2016-11-18 05:21:52,0,0,,,,,,,
809,favicon-badge,A Polymer element for declaratively updating the favicon for your webapp with dynamically-set numbers.,zacharytamas,v1.0.1,,2016-11-23 17:38:55,2,0,,,,,,,
810,pokemon-selector,🐥 Pokémon selector. There's an element for that.,samiheikki,v0.0.4,,2017-06-27 23:20:23,6,1,,,,,,,
811,k-redirect,a simple component for redirect page.,k4ng,0.0.1,,2017-02-24 14:00:43,0,0,,,,,,,
812,fs-person-portrait,Web component for a person's portrait,fs-webcomponents,2.0.2,,2017-03-09 22:38:28,0,0,,,,,,,
813,nebula-dispatch,Send and receive action requests between web components.,arsnebula,v2.0.3,,2017-03-02 03:53:33,1,0,,,,,,,
814,load-lock,A Polymer element for easily adding an unsaved changes warning to your webapp when its tab is closed.,zacharytamas,v0.1.0,,2016-12-29 23:57:36,2,0,,,,,,,
815,ken-burns-image,"A Polymer web component that will fade-in/out, zoom-in/out and pan an image in a manner often referred to as the ""Ken Burns Effect""",vogelrh,v1.0.4,,2017-05-30 22:46:45,10,0,,,,,,,
816,terminal-text,An element that simulates the old-school terminals of the 70s and 80s,vic10us,v1.0.9,,2016-11-04 03:13:19,2,0,,,,,,,
