,repo,description,owner,version,wc_url,updated_at,stars,forks,screenshot_url,samplecode_url,supported_browsers,rating,comment,external,status
855,polymersky,Polymer Web Component for Skygear,astri-isns,v0.0.2,,2017-04-20 02:43:00,0,1,,,,,,,
856,midori-jsontable-element,Web component that generates plain HTML tables from json sources.,midorikocak,v1.0.2,,2017-05-24 02:49:37,3,0,,,,,,,
857,konami-code,Web Component (with Polymer) to listen the Konami Code (↑↑↓↓←→←→BA),abdonrd,v0.1.1,,2017-07-11 15:29:29,7,0,,,,,,,
858,google-calendar,Google Calendar web components,GoogleWebComponents,v1.0.3,,2017-06-22 11:29:51,68,33,,,,,,,
859,math-tex,A web component for mathematical typesetting using TeX notation.,mathiasbynens,v1.0.0,,2017-06-02 02:53:50,24,1,,,,,,,
860,paper-input-items,"paper input bound to template-repeat (e.g. paper-dropdown-menu, paper-radio-group)",PolymerEl,v0.4.5,,2017-01-09 16:00:17,1,0,,,,,,,
861,ami-viewer,AMI Viewer Polymer element,FNNDSC,0.3.0,,2017-05-18 13:26:10,5,1,,,,,,,
862,ami-loader,,FNNDSC,0.4.0,,2017-01-17 05:45:00,3,1,,,,,,,
863,jay-icons,Some additional iconsets to be used with iron-icon,JaySunSyn,1.0.0,,2016-12-15 19:30:15,1,0,,,,,,,
864,d3-circle-packing,A Polymer Web Component for Drawing D3 Circle Packing Chart,saeidzebardast,v0.1.0,,2017-05-04 07:32:51,5,0,,,,,,,
865,hackernews-share-button,,PaulKinlan,0.1.0,,2017-04-25 18:56:18,1,1,,,,,,,
866,three-import,"Three JS Import for Polymer - no goodies, no bundles, nothing else. Just threejs.min.js.",NicolasRannou,82.0.0,,2016-12-01 15:29:57,2,0,,,,,,,
867,vimeo-embed,,auth0-blog,1.0.2,,2017-04-06 05:53:25,3,1,,,,,,,
868,collapsible-container,Polymer 1.X and 2.X collapsible container and accordion,afloesch,v1.0.4,,2017-05-11 19:05:04,0,1,,,,,,,
869,progress-bar,Lightweight vanilla JS horizontal loading bar,samuelli,v2.0.1,,2017-06-01 21:35:31,8,0,,,,,,,
870,default-value,handle firebase-document/firebase-query's default-value/zeroValue ,PolymerEl,v0.3.4,,2017-01-12 13:50:51,1,0,,,,,,,
871,paper-pair,,Meravici,v0.0.1,,2017-01-19 13:40:52,1,0,,,,,,,
872,granite-draw-sparkline,A webcomponent to hand draw a sparkline on a canvas and get its coordinates,LostInBrittany,0.2.0,,2017-02-02 16:35:35,0,0,,,,,,,
873,material-progress,"A Material design multi-progress bar collection, inspired by Google Fit and made with Polymer.",vguillou,v0.1.3,,2017-06-25 21:57:50,27,1,,,,,,,
874,iron-cropper,Polymer 1.0 element that wraps around Cropper.js,safetychanger,1.1.1,,2017-07-02 14:38:02,6,1,,,,,,,
875,isw-datatable,Material Design Polymer Datatable.,rene-lindner-isw,1.0.3,,2017-04-25 20:06:52,1,0,,,,,,,
876,twitter-share-button,A simple twitter share button,PaulKinlan,0.1.0,,2017-04-05 14:51:07,0,0,,,,,,,
877,juicy-svg-injector,Polymer Element wrapper around SVGInjector,Juicy,1.0.2,,2016-12-18 10:47:53,0,0,,,,,,,
878,juicy-table-repeat,A workaround custom element which allows you to use dom-repeat inside table under IE and FF,Juicy,0.0.3,,2016-10-26 16:08:32,4,1,,,,,,,
879,e2u-json-object-editor,Polymer based object editor using JSON Schema to describe structure ('autoform'),GerhardHH,v0.9.4,,2017-07-01 16:23:15,3,0,,,,,,,
880,fs-person-card,Display a person summary card for a person in the FamilySearch Tree,fs-webcomponents,1.0.1,,2017-03-09 22:36:39,1,0,,,,,,,
881,fs-pedigree,Display a FamilySearch person's pedigree,fs-webcomponents,1.1.0,,2017-03-09 22:36:19,0,1,,,,,,,
882,fs-person-chip,"Display the portrait, name, and lifespan of a person",fs-webcomponents,2.0.1,,2017-03-09 22:39:52,0,0,,,,,,,
883,input-search,Single-line text field used for search.,eduardosada,v1.0.0,,2017-01-21 18:13:06,1,1,,,,,,,
884,nebula-radio,Display a group of radio buttons.,arsnebula,v2.0.0,,2017-03-02 04:07:37,1,1,,,,,,,
885,paper-select-or-other,,Meravici,0.0.5,,2017-02-28 11:54:00,1,0,,,,,,,
886,granite-ink,A webcomponent to hand draw paths on a canvas and get the paths coordinates,LostInBrittany,0.2.0,,2017-03-30 22:58:18,1,0,,,,,,,
887,geo-query-input,"A Polymer element for specifying latitude, longitude, and search radius for geographical queries.",jifalops,0.3.2,,2017-02-28 08:46:05,1,1,,,,,,,
888,tk-loading-backdrop,A loading backdrop.,butterandfly,v0.1.2,,2016-11-17 05:38:52,0,1,,,,,,,
889,bootstrap-styles,,AlbertoFdzM,1.0.2,,2017-03-09 15:39:58,2,1,,,,,,,
890,scalable-image-grid,A Polymer-based web component that displays images in a scalable grid but is also responsive.,vogelrh,1.0.2,,2017-07-16 09:48:37,3,1,,,,,,,
891,ce-responsive-behavior,Custom Element to define responsive pages using polymer.,seijihirao,v0.1.1,,2017-03-09 14:10:45,0,0,,,,,,,
892,granite-c3,"A lightweight element wrapping-up C3.js, D3-based chart library",LostInBrittany,1.1.1,,2016-10-30 11:41:04,2,2,,,,,,,
893,jvd-config,Store all your global config in one place.,jordyvandomselaar,1.0.0,,2016-12-15 13:28:31,0,0,,,,,,,
894,paper-select,A proper select input for the Polymer world.,naderio,0.2.6,,2017-04-26 17:17:55,28,14,,,,,,,
895,juicy-tiles-setup-sync,"Polymer Element to handle `<juicy-tile-list>` (or `-grid`) setup changes (staging, reverting, saving to storage).",Juicy,1.0.0,,2016-01-20 07:53:40,0,0,,,,,,,
896,cordova-compass,An element providing access to device compass for cordova applications.,adelarosab,v1.0.8,,2016-08-18 17:37:16,0,0,,,,,,,
897,bottom-button,A full width bottom button for mobile,greenyouse,v0.1.3,,2017-04-25 19:14:35,1,0,,,,,,,
898,paper-checkbox-item,☑ A Material Design checkbox item,Abe90,0.0.1,,2017-02-07 14:36:09,0,0,,,,,,,
899,ros-joint-states,Polymer element that subscribes to a ROS joint states topic.,jstnhuang,v0.1.2,,2017-05-10 20:13:59,0,0,,,,,,,
900,s-grid,"s-grid is a helper class useful for creating responsive, fluid grid layouts using CSS Custom Properties.",StartPolymer,v0.1.3,,2017-05-04 07:20:32,4,1,,,,,,,
901,paper-dialog-lite,paper-dialog without paper-dialog-behavior or paper-dialog-shared-styles,ryanburns23,v2.0.1,,2017-06-06 21:42:12,3,0,,,,,,,
902,webrtc-video,An element displaying video from a user's stream,convoo,0.0.3,,2017-06-27 19:07:41,4,0,,,,,,,
903,paper-lipsum,The Dummy Text Generator Web Component,AmruthPillai,1.0.0,,2016-11-23 12:04:41,1,0,,,,,,,
904,lrndesign-progress-spinner,A spinner to demonstrate something is loading.,LRNWebComponents,0.0.1,,2017-05-24 14:35:09,0,0,,,,,,,
905,mp-video,"YouTube, Vimeo and HTML5 video playback web component.",mpachnis,v1.0.2,,2017-04-17 11:40:31,1,0,,,,,,,
906,grain-html-import,,daKmoR,v0.8.0,,2017-05-03 10:50:51,1,0,,,,,,,
907,global-var,Light-weight element to expose global variables to Polymer data binding.,jifalops,0.1.0,,2017-04-26 06:43:45,0,0,,,,,,,
908,file-input,"A better <input type=""file"">",rnicholus,2.0.0,,2017-06-21 07:47:38,54,15,,,,,,,
909,d3-radar-chart,Polymer element for displaying  radar-chart - uses d3.js v4,PolymerEl,v0.8.3,,2017-05-31 09:05:34,1,0,,,,,,,
910,d3-gauge-chart,Polymer element for gauge chart - using d3.js v4 ,PolymerEl,v0.8.1,,2017-05-31 09:05:41,1,0,,,,,,,
911,s-circle-progress,Polymer-based web component displaying a circular progress bar.,StartPolymer,v0.1.0,,2017-06-23 21:19:31,9,5,,,,,,,
912,paper-empty-state,Display empty states,petja,v1.0.0,,2017-07-14 05:59:11,3,0,,,,,,,
913,s-table,Responsive HTML table extended with Polymer and Material Design.,StartPolymer,v0.2.2,,2017-05-04 07:15:44,4,0,,,,,,,
914,google-castable-video,A Polymer element for casting video,GoogleWebComponents,v1.0.3,,2017-06-13 07:56:29,29,15,,,,,,,
915,google-sheets,Google Spreadsheets web components ,GoogleWebComponents,v1.0.6,,2017-06-20 04:26:44,58,19,,,,,,,
916,google-hangout-button,Google Hangout button web component,GoogleWebComponents,v1.0.2,,2017-06-16 09:20:17,28,9,,,,,,,
917,memoization-behavior,Polymer behavior adding memoization helpers,shawncplus,v1.0.0,,2016-12-25 19:42:08,7,0,,,,,,,
918,juicy-tile-editor,Polymer Element that adds an editor to control the setup of <juicy-tile-list>,Juicy,2.0.3,,2016-01-15 17:49:42,0,0,,,,,,,
919,google-streetview-pano,Google Maps Street View web component,GoogleWebComponents,v1.0.4,,2017-05-13 06:56:49,27,13,,,,,,,
920,simpla-demo-helper,Sets up a demo environment for Simpla element demos,SimplaElements,v0.1.3,,2017-04-26 13:23:11,2,0,,,,,,,
921,navigation-select-element,A Custom Element to augment select elements.,plataformatec,v0.1.0,,2016-09-29 14:02:55,7,0,,,,,,,
922,help-wanted-gh-issues,Polymer Element to display Github issues for a given repo tagged with `help-wanted`,samjacobclift,v1.0.0,,2016-10-26 08:28:21,0,0,,,,,,,
923,webrtc-stream,An element providing access to a user's getUserMedia stream.,convoo,0.0.3,,2017-05-16 18:18:11,3,0,,,,,,,
924,fs-behavior,Shared behavior for FS components,fs-webcomponents,2.0.2,,2017-03-09 22:40:43,0,0,,,,,,,
925,gamepad-service,Polymer behavior providing a service for multi-player access to the Gamepad API,larsgk,v0.0.2,,2016-10-24 12:50:15,0,0,,,,,,,
926,coindesk-component,Provides a simple Webcomponent to make its Bitcoin Price Index (BPI) available to others,joserochadocarmo,0.0.2,,2017-02-17 21:47:08,1,0,,,,,,,
927,spinkit-element,[Polymer 1.x] Element that provides a configurable spinner based on Spinkit.,GeoloeG,1.0.1,,2017-03-08 14:44:23,7,2,,,,,,,
928,log-behavior,"A log behavior for polymer elements, based on visionmedia-debug",pwasem,v0.9.1,,2017-04-19 11:55:25,2,1,,,,,,,
929,ecd-parser,Parses ECD (Escrituração Contábil Digital) files into a JS Object,Phenome,0.0.3,,2016-12-07 18:14:46,0,0,,,,,,,
930,animated-lazy-pages,,paulvarache,1.0.0,,2016-06-22 23:53:14,0,0,,,,,,,
931,paper-input-username,A Material Design input for username (Polymer 1.x),Koada-os,1.0.1,,2017-03-08 22:58:13,2,0,,,,,,,
932,creative-photo-editor,"The <creative-photo-editor> is a wrapper of the best FREE Phonto Editor, Adobe Creative (https://creativesdk.adobe.com), but with fixes to works well with web components. Maybe you will want your own api key to run in production, you can get one for FREE creating an account in https://creativesdk.adobe.com/myapps.html",IngressoRapidoWebComponents,v1.1.1,,2017-05-20 02:50:43,5,0,,,,,,,
933,fs-person-sources,List sources attached to a person in the Family Tree,fs-webcomponents,2.1.1,,2017-03-09 22:38:12,0,0,,,,,,,
934,fs-person-facts,Web component for listing a FamilySearch person's facts,fs-webcomponents,2.0.1,,2017-03-09 22:39:24,0,0,,,,,,,
935,bouncing-spinner,🌐🚏 A Web Component which displays a bouncing spinner,FlorianFe,1.0.0,,2017-06-14 11:29:35,1,0,,,,,,,
936,paper-compare,Material design element to compare two lists and move elements between them,blackjack26,0.2.0,,2017-03-10 07:30:00,1,0,,,,,,,
937,nebula-select,Manage keyboard accessibility for a selection of controls.,arsnebula,v2.0.0,,2017-03-06 00:28:15,1,0,,,,,,,
938,toasty-toast,,jgw96,v0.0.6,,2016-11-05 03:39:29,2,0,,,,,,,
939,global-alert-wrapper,"Event-driven, Bootstrap-like, polymer alert messages",roberttaraya,1.0.3,,2017-04-11 07:26:06,4,1,,,,,,,
940,country-picker,A polymer dial code picker component.,anandAbhi,v0.0.1,,2017-05-05 09:32:14,1,1,,,,,,,
941,cordova-camera,An element providing access to camera for cordova applications.,adelarosab,v1.1.2,,2016-07-12 20:46:46,0,0,,,,,,,
942,juicy-tile-table,DEPRECATED! juicy-tile-grid that fallbacks CSS Grid Layout to table,Juicy,0.0.7,,2017-07-12 14:30:59,0,0,,,,,,,
943,sortable-list,Polymer 1.X and 2.X element for drag-and-drop reordering of template items,afloesch,v1.0.1,,2017-05-11 21:51:37,1,0,,,,,,,
944,l2t-context-menu,Polymer element to replace right click functionality,Link2Twenty,1.0.4,,2017-03-22 20:11:18,6,3,,,,,,,
945,iz-made-in-ukraine,Simple custom element with Ukrainian style barcode,ivanzusko,v1.0.0,,2017-05-23 17:22:04,0,0,,,,,,,
946,read-time,A component for calculating how long it will take to read an article.,matthewp,v1.0.5,,2017-07-06 19:43:39,12,2,,,,,,,
947,molecule-isotope-gallery,a webcomponent to display a filterable gallery using isotope.js,dloeda,0.1.1,,2017-04-04 14:57:20,0,0,,,,,,,
948,xmpp-message,,renfeng,v1.0.5,,2017-05-09 10:30:30,0,0,,,,,,,
949,tracking-elements,Web Component wrapper for tracking.js API using Polymer,eduardolundgren,v1.0.0,,2017-07-17 20:24:32,51,11,,,,,,,
950,confirm-dialog,A simple paper-dialog wrapper.,jifalops,0.1.1,,2017-04-04 00:47:00,1,0,,,,,,,
951,lrnapp-fab-menu,floating action button menu,LRNWebComponents,0.0.1,,2017-05-02 00:35:21,0,0,,,,,,,
952,screen-env,"Differentiate screen types by size, touch ability, and more.",jifalops,0.3.0,,2017-03-27 22:06:19,1,0,,,,,,,
953,paper-fab-transitions,Polymer elements for adding morphing and speed dial transitions to floating action buttons,GabiAxel,0.1.0,,2017-05-11 16:17:04,49,14,,,,,,,
954,wc-browser-table,Browser table for webcomponents.org,samuelli,v1.0.1,,2017-04-13 05:00:05,2,0,,,,,,,
955,iron-timeago,Polymer 1.0 element that shows a date/time as 'some time ago' using https://date-fns.org,safetychanger,1.0.0,,2017-04-19 11:57:39,11,3,,,,,,,
956,decimal-behavior,"A decimal-behavior element that provides ceil, round, floor, format and decimalAdjustemnt methods. Decimal adjustment of a number implementation is taken from Mozilla Developer Network: https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Math/round.",Protoss78,1.0.0,,2017-02-28 08:28:52,0,0,,,,,,,
957,granite-bootstrap,Wrapping of *Bootstrap CSS* as Polymer web componentto be used as shared style in full ShadowDOM mode,LostInBrittany,3.3.7,,2017-07-12 14:13:16,5,1,,,,,,,
958,initials-placeholder,Avatar placeholder displaying the first letters of the first and last name,JaySunSyn,1.0.1,,2017-01-21 12:06:50,4,0,,,,,,,
959,modernizr-element,[Polymer 1.x] A feature detection element powered by `Modernizr`,GeoloeG,1.0.0,,2017-03-07 18:15:42,8,0,,,,,,,
960,i18n-msg,Polymer element for i18n string replacement,ebidel,1.1.0,,2017-04-25 17:30:28,65,23,,,,,,,
961,scary-cookie,Polymer element to read and write cookies,Scarygami,2.0.0,,2017-05-16 20:19:01,2,1,,,,,,,
962,cat-coverflow,Coverflow web component with various effects http://webcomponents.online/cat-coverflow/,the-catalin,0.7.1,,2017-03-21 18:58:50,2,0,,,,,,,
963,gravatar-image,,cluttered-components,v1.0.3,,2017-04-24 04:14:39,3,0,,,,,,,
964,google-map-markerclusterer,Polymer port of markerclusterer-plus,timeu,v1.0.2,,2017-02-22 23:11:48,29,7,,,,,,,
965,dy-graphs,Polymer custom element wrapper around dygraphs.com,timeu,v1.0.0,,2017-07-15 08:58:37,3,1,,,,,,,
966,titanium-form-behavior,titanium-form-behavior is a polymer behavior that provides some typical scrolling and key press handling abilities,LssPolymerElements,0.1.0,,2017-04-17 22:19:55,0,0,,,,,,,
967,pluralize-behavior,Simple Polymer behavior that wraps pluralize,bennypowers,0.0.3,,2017-05-01 17:11:19,0,0,,,,,,,
968,material-word,Polymer element to display a word from a material design alphabet,johnnyboyct,1.0.0,,2017-03-30 04:02:16,3,1,,,,,,,
969,http-cat-element,:cat: Web Component for embedding HTTP Cats images,rogeriopvl,v1.1.0,,2017-05-08 14:38:13,1,1,,,,,,,
970,notification-toast,An app-toast (paper-toast) wrapper for simulating web notifications.,jifalops,0.1.1,,2017-04-28 13:03:54,2,0,,,,,,,
971,neon-page-behavior,"Make the most of Polymer's 'neon-animated-pages' effortlessly. NeonPageBehavior fires events allowing more control over a page's lifecycle, allows your page element to use a different animation-configuration when transitioning to each different page, and makes it possible to display a page as an overlay on top of another",vguillou,v1.2.0,,2017-06-24 17:31:40,25,6,,,,,,,
972,sapo-videos-element,🐸 Web component for embedding videos from Sapo Vídeos,rogeriopvl,v1.0.0,,2017-05-08 14:48:40,1,0,,,,,,,
973,progress-spinner,a material design inspired spinner that also supports progress indication,Juravenator,0.1.2,,2017-03-20 22:56:46,0,0,,,,,,,
974,granite-led,A webcomponent to display a LED-like ON/OFF status indicator,LostInBrittany,1.0.2,,2016-12-05 15:56:50,0,0,,,,,,,
975,granite-ajax-saver,A lightweight element to save the response from an AJAX call into a file on the local filesystem,LostInBrittany,1.0.3,,2017-02-27 19:46:56,1,0,,,,,,,
976,iron-icon,,johnpryan,1.0.0,,2017-03-20 23:44:58,0,0,,,,,,,
977,calendar-flip,A 3D flip clock polymer element with animation,limhenry,0.1.0,,2017-05-04 07:43:59,2,2,,,,,,,
978,cordova-connection,An element providing connection information for cordova applications.,adelarosab,v1.1.1,,2016-09-04 00:25:28,0,0,,,,,,,
979,qairoe-app-layout,"This is a layout wrapper for headers, drawers, and main-content. ",littleqairoes,v0.0.4,,2016-11-13 04:04:18,0,0,,,,,,,
980,x-barcode,Web Component wrapper for UPC-A (for now) barcode using Polymer.,girliemac,v1.0.0,,2017-05-23 07:36:26,22,2,,,,,,,
981,google-feeds,Polymer element for the Google Feeds API,GoogleWebComponents,v1.0.2,,2017-06-16 09:22:52,15,18,,,,,,,
982,html-echo,Web component that dumps a HTML property directly into the DOM (Polymer 1.x),Collaborne,1.0.1,,2017-06-16 09:22:22,2,0,,,,,,,
983,jsfiddle-demo,Polymer element for displaying jsfiddles,Link2Twenty,v0.0.1,,2017-05-01 19:34:59,3,0,,,,,,,
984,cast-video-polymer,Reusable video element to simplify cast integration.,googlecast,v1.0.0,,2017-05-05 08:15:39,9,5,,,,,,,
985,profile-vcard,Polymer template for display a simple profile card,oscarmcm,v2.0.0,,2017-07-06 22:52:40,17,3,,,,,,,
986,input-password,The input password that you allways want to use in your apps with sign in process now is real with Web Components,jorgecasar,1.1.0,,2017-04-17 19:39:30,21,1,,,,,,,
987,material-toggle-button,`material-toggle-button` is a Material design inspired toggle button. It is based on the original Material design [paper-button](https://elements.polymer-project.org/elements/paper-button) by the Polymer team.,vguillou,v1.0.0,,2017-01-05 17:38:10,2,1,,,,,,,
988,cast-manager-polymer,Reusable Polymer element to simplify cast integration,googlecast,v1.0.8,,2017-06-11 05:21:18,7,2,,,,,,,
989,pull-to-action,Polymer element to trigger javaScript action on pulldown ,Link2Twenty,v1.1.0,,2017-01-19 16:33:26,43,12,,,,,,,
990,polymer-glad-list-view,,gladcube,v0.0.5,,2016-03-31 08:41:56,0,0,,,,,,,
991,leap-motion,An element providing a wrapper for Leap Motion.,jorgecasar,1.0.1,,2017-04-18 12:42:32,3,0,,,,,,,
992,socket-io,A Polymer webcomponent to make a connection to a socket.io server.,Artanis,0.1.0,,2016-03-25 00:38:34,0,0,,,,,,,
993,cast-button-polymer,Reuseable cast button element to simplify cast integration.,googlecast,v1.0.2,,2016-12-18 10:49:08,3,8,,,,,,,
994,cast-controller-bar-polymer,Reusable cast player control bar.  Automatically hides and displays based on local/cast media content.,googlecast,v1.0.0,,2017-01-22 19:43:38,1,2,,,,,,,
995,cast-dialog-polymer,cast dialog element,googlecast,v1.0.0,,2016-12-18 10:48:59,1,1,,,,,,,
996,cast-volume-controller-polymer,Reuseable volume controller element.  Used in both the player and cast controller.,googlecast,v1.0.0,,2016-12-18 10:48:47,0,2,,,,,,,
997,cast-theme-polymer,cast-theme polymer,googlecast,v1.0.0,,2016-12-18 10:48:55,0,2,,,,,,,
998,paper-avatar-image,Avatar Image Web Component based on Polymer Paper Elements,WebPaperElements,0.10.5,,2016-04-11 19:05:27,0,0,,,,,,,
999,emo-ji,An Emoji html custom element that lets you use descriptive names in place of unicode!,wbinnssmith,v1.0.4,,2017-07-13 14:44:17,53,9,,,,,,,
1000,g-r-i-d,"A simple, configurable, responsive and adaptive grid layout made with Polymer. The adaptive breakpoints are defined by the minimum width of the columns. Gutter size, row height, grid items aspect-ration and maximum width are all easily manageable.",vguillou,v1.2.4,,2016-05-10 06:58:41,2,0,,,,,,,
1001,game-snakes,An element providing a snakes game.,namannehra,v0.3.1,,2017-01-19 16:45:02,3,0,,,,,,,
1002,d3-bubble,Bubble chart element for Polymer using d3.,saeidzebardast,v0.2.1,,2017-03-31 07:53:14,4,0,,,,,,,
1003,disqus-thread,Custom element for Disqus.,revathskumar,0.0.1,,2017-03-29 21:29:08,1,2,,,,,,,
1004,fullscreen-api,A simple Polymer based Web Component wrapper for the HTML5 full screen API,vguillou,v1.1.1,,2017-01-19 20:17:31,22,3,,,,,,,
1005,x-translate,A Custom Element providing translation of text.,tryggvigy,v0.8.0,,2015-04-20 11:06:33,3,2,,,,,,,
1006,attr-item-behavior,A behavior that reflects the properties of an object to an element's attributes.,samthecodingman,0.0.2,,2017-03-04 16:01:46,0,0,,,,,,,
1007,github-fork-ribbon,Simple Polymer element to add a GitHub fork me ribbon.,saeidzebardast,v0.2.3,,2017-01-19 15:43:56,3,0,,,,,,,
1008,gravatar-tag,Custom Element for Gravatar without Polymer.,revathskumar,0.0.4,,2014-08-25 18:35:09,1,0,,,,,,,
1009,loading-wave,Custom Element for CSS Loading wave,revathskumar,0.0.1,,2014-07-23 07:25:52,1,0,,,,,,,
1010,parallax-frame,An element providing a parallax frame.,namannehra,0.1.1,,2016-10-17 09:38:07,2,0,,,,,,,
1011,async-files,WebComponent that allows to load javascripts and css files asynchronously.,GNURub,v0.1.0,,2015-12-29 22:31:03,1,0,,,,,,,
1012,dashboard-clock-analog,":dash: Clock, Analog",DashboardElements,v0.0.1,,2016-03-15 06:21:24,0,0,,,,,,,
1013,cordova-vibration,An element providing access to vibration system for cordova applications.,adelarosab,v1.0.0,,2015-10-12 22:05:07,0,0,,,,,,,
1014,x-trap,A X-Tag element for handling keyboard shortcuts & gestures,alternatex,1.0.0,,2015-10-12 17:53:56,1,0,,,,,,,
1015,syntax-highlight,Code syntax highlight element.,1000ch,v1.0.0,,2016-10-30 22:34:00,29,3,,,,,,,
