,repo,description,owner,version,wc_url,updated_at,stars,forks,screenshot_url,samplecode_url,supported_browsers,rating,comment,external,status
107,vaadin-text-field,vaadin-text-field is a themable Polymer 2 element providing input controls. Part of Vaadin Core Elements bundle.,vaadin,v1.1.0-alpha3,,2017-08-08 23:52:44,2,5,,,,,,,
108,prism-transit,Web component based on Polymer 2. A data transform component via scoped function,Prhythm,2.0.1,,2017-08-10 13:24:06,2,1,,,,,,,
109,share-menu,A complete and simple to use share menu.,Dabolus,2.0.3,,2017-08-10 13:22:58,3,0,,,,,,,
110,govcon-banner,A sample govcon banner,LRNWebComponents,0.0.1,,2017-08-01 01:12:34,0,2,,,,,,,
111,xtal-fetch,Polymer based component wrapper around the fetch method.  ,bahrus,0.0.12,,2017-07-17 18:09:15,2,0,,,,,,,
112,fsn-map,,pedro2555,0.1.6,,2017-07-16 01:02:18,0,0,,,,,,,
113,lss-paper-date-picker,"A Polymer element that provides a paper-date-picker for browsers that do not support input type date such as IE, Edge and Firefox.    ",LssPolymerElements,2.0.3,,2017-07-18 22:46:40,1,1,,,,,,,
114,app-toasts,"Commonly used toasts are themed, swipeable, and actionable.",jifalops,0.4.0,,2017-07-29 06:38:56,4,1,,,,,,,
115,paper-chip,A chip web component made with Polymer 2 following Material Design guidelines,fabbricadigitale,v0.11.1,,2017-08-03 07:10:45,15,5,,,,,,,
116,app-toast,"A swipeable, actionable, and themable paper-toast.",jifalops,0.3.1,,2017-07-27 17:52:04,5,3,,,,,,,
117,polymer-outside-click,A polymer wrapper component for listening to outside click events,saadixl,v1.0.0,,2017-08-05 18:27:57,4,0,,,,,,,
118,Web-Map-Custom-Element,A customised built-in <map> element https://maps4html.github.io/Web-Map-Custom-Element/,Maps4HTML,0.1.6,,2017-08-04 10:37:24,17,4,,,,,,,
119,mapbox-gl,Polymer 1.0 custom element for mapbox-gl-js. Uses WebGL to render interactive maps from vector tiles and Mapbox styles - compatible with deck-gl.,PolymerVis,1.0.8,,2017-08-01 18:10:36,3,3,,,,,,,
120,auth0-element,An element that makes it easy to declaratively use auth0,johnlim,v3.2.3,,2017-04-25 10:14:39,6,3,,,,,,,
121,brainy-table,Polymer 1.x table element,OWOX,1.8.0,,2017-05-17 18:33:44,28,9,,,,,,,
122,app-route,A modular client-side router,PolymerElements,v2.0.1,,2017-08-02 08:51:04,124,56,,,,,,,
123,iron-menu-behavior,Accessible menu behavior,PolymerElements,v2.0.1,,2017-05-13 05:21:28,9,22,,,,,,,
124,iron-list,"Element for a virtual, ""infinite"" list",PolymerElements,v2.0.8,,2017-08-05 12:23:06,159,104,,,,,,,
125,titanium-date-input,A simple auto formatting date input for polymer 2.0,LssPolymerElements,1.0.23,,2017-07-20 21:06:44,1,0,,,,,,,
126,geo-query,Polymer web component wrapper for Geofire's Geoquery.,jifalops,0.4.0,,2017-03-24 05:31:22,2,0,,,,,,,
127,value-history,Record property changes with this handy little element.,jifalops,0.2.3,,2017-07-27 15:32:39,3,0,,,,,,,
128,contactlab-ui-components,Basic UI components for ContactLab UX design pattern library,contactlab,v1.3.6,,2017-07-27 17:54:29,24,6,,,,,,,
129,vaadin-progress-bar,Polymer 2 element for customized progress bars. Part of Vaadin Core Elements bundle.,vaadin,v1.0.0-alpha1,,2017-07-07 10:19:25,0,0,,,,,,,
130,traverson-traversal,Web Component for consuming Hypermedia/HATEOAS APIs,traverson,v0.0.3,,2017-07-27 13:39:56,1,0,,,,,,,
131,ros-rviz,A Polymer element for ROS visualization.,jstnhuang,v1.1.4,,2017-07-26 06:09:59,3,2,,,,,,,
132,nodecg-toggle,A NodeCG dashboard element to toggle the boolean state of a replicant,NodeCGElements,v1.0.0,,2017-07-26 19:36:31,0,1,,,,,,,
133,iron-icon,Element that displays a single icon,PolymerElements,v2.0.1,,2017-08-05 12:23:46,24,43,,,,,,,
134,lrn-aside,Provide an area of related content / additional content for use in a larger page element.,LRNWebComponents,0.0.10,,2017-08-01 11:44:21,0,1,,,,,,,
135,mtz-update-password,An element for validating a password matches all requirements before updating.,MaritzSTL,v0.1.0,,2017-07-26 03:42:24,0,0,,,,,,,
136,mtz-marked-editor,Extends a textarea that can be controlled by UI elements for inserting markdown,MaritzSTL,v0.2.2,,2017-07-27 11:59:20,1,0,,,,,,,
137,polymeraws,Polymer Web Components for AWS,PolymerAWS,v2.4.1,,2017-08-10 13:24:27,17,2,,,,,,,
138,vaadin-combo-box,vaadin-combo-box is a free Web Component for displaying a list of items with filtering. Built using Polymer,vaadin,v2.0.0,,2017-08-04 12:35:56,86,68,,,,,,,
139,cosmoz-autocomplete,Input field that combines drop-down like behavior with input filtering by inputting search terms. ,Neovici,v0.9.1,,2017-07-26 10:46:18,0,2,,,,,,,
140,google-drive,Google Drive Polymer element,GoogleWebComponents,v1.0.2,,2017-07-26 11:47:31,64,21,,,,,,,
141,titanium-responsive-icon,An icon that responds to focused and invalid events when slotted into an input such as paper-input. ,LssPolymerElements,2.0.4,,2017-07-24 17:31:30,0,0,,,,,,,
142,mtz-file-download-behavior,A behavior for downloading streamed files or creating files based on available data.,MaritzSTL,v0.1.0,,2017-08-01 03:04:15,1,0,,,,,,,
143,pf-calendar-events,"Polymer 2.0 based web component to set Calendar Events, appointments, meetings etc.",PFElements,0.3.0,,2017-07-25 21:54:06,5,0,,,,,,,
144,pf-calendar,"Polymer 2.0 based custom element. A high level wrapper custom element to give you broader control for Managing Calendar of events, appointments or meetings. It uses multiple pf custom elements (pf-calendar-events and pf-calendar-events-data)",PFElements,0.3.0,,2017-07-26 06:41:08,7,0,,,,,,,
145,animation-keyframes,Generator of animation keyframes for performant expand/collapse effect,valdrinkoshi,v0.4.2,,2017-06-07 01:36:32,0,0,,,,,,,
146,titanium-letter-selectable-list-item,,LssPolymerElements,1.0.12,,2017-06-30 22:27:18,0,0,,,,,,,
147,se-time-input,"Polymer wrapper around <input type=""time""> with browser-dependent appearance",andrewmiroshnichenko,v1.0.2,,2017-07-19 15:42:44,0,0,,,,,,,
148,se-timer,"Polymer component that shows time in user-defined format, with ability to act like timer",andrewmiroshnichenko,v1.0.2,,2017-07-20 11:00:08,0,0,,,,,,,
149,mtz-permission-check,Handles the permission checking based on desired requirements,MaritzSTL,v0.1.1,,2017-07-25 02:36:07,0,0,,,,,,,
150,mtz-lazy-imports-handler-behavior,"Pulls in the Polymer.LazyImportsBehavior and listens for an event to tell an instance of this behavior to attempt to import a lazy-group within the provided domain, if it is found then it will stop the event propagation.  Listens for events on the use-capture event cycle. ",MaritzSTL,v0.1.1,,2017-07-25 14:28:03,0,0,,,,,,,
151,firebase-fillform,Automatic Form to fill firebase path,manufosela,1.0.2,,2017-07-09 20:41:29,0,0,,,,,,,
152,codemirror-imports,HTML Imports for CodeMirror,MaritzSTL,v1.0.0-prerelease.2,,2017-07-25 02:41:16,0,0,,,,,,,
153,moment-imports,Moment.js HTML Imports,MaritzSTL,v1.1.0,,2017-07-25 02:40:26,0,0,,,,,,,
154,mtz-wizard,All of the elements required to implement a stepper controlled series of forms that support lazy-loading steps upon activation as well as validation and bulk submission tasks.,MaritzSTL,v0.1.4,,2017-08-04 19:15:01,1,0,,,,,,,
155,accordion,accordion ui element,acordeonl,v1.0.3,,2016-11-18 08:34:15,0,0,,,,,,,
156,paper-carousel,Polymer element that displays a Material Design image carousel.,wincinderith,v1.3.1,,2017-05-26 22:58:16,3,0,,,,,,,
157,titanium-icon-input-container,"A simple way to add an prefixed icon to an input that responds to disabled, focused and invalid states.",LssPolymerElements,2.0.7,,2017-07-21 22:57:41,4,0,,,,,,,
158,shibui-dropdown-menu,"Simple, modern, and inspired dropdown menu.",ShibuiElements,1.1.0,,2017-06-24 09:51:36,1,4,,,,,,,
159,cloudinary-img,Polymer cloudinary wrapper,fraed,v2.0.1,,2017-03-29 14:07:29,1,0,,,,,,,
160,mtz-ajax-interceptor,A group of elements to support intercepting ajax requests for injecting headers or handling responses globally.,MaritzSTL,v0.3.2,,2017-07-28 21:06:46,1,0,,,,,,,
161,paper-slider,A Material Design slider,PolymerElements,v2.0.2,,2017-08-11 07:10:53,28,66,,,,,,,
162,platinum-bluetooth,A set of Polymer elements to discover and communicate with nearby Bluetooth devices,PolymerElements,v2.1.2,,2017-08-01 18:05:43,21,9,,,,,,,
163,platinum-sw,Service Worker Polymer element,PolymerElements,v2.0.0,,2017-08-02 19:34:50,59,18,,,,,,,
164,prism-element,Prism-based syntax highlighting,PolymerElements,v2.0.1,,2017-08-04 20:37:55,17,15,,,,,,,
165,platinum-push-messaging,Push Notifications with Polymer,PolymerElements,v1.0.5,,2017-08-09 17:40:36,23,9,,,,,,,
166,test-fixture,,PolymerElements,v2.0.1,,2017-08-01 01:08:22,16,6,,,,,,,
167,paper-spinner,Material Design circular activity indicator,PolymerElements,v2.0.0,,2017-07-01 18:15:27,25,13,,,,,,,
168,paper-menu-button,An element that allows composing a trigger and content as a dropdown menu.,PolymerElements,v2.0.0,,2017-07-17 22:55:37,20,42,,,,,,,
169,platinum-https-redirect,Force a redirect to HTTPS when not on a local web server.,PolymerElements,v1.0.2,,2017-08-04 20:37:55,6,9,,,,,,,
170,paper-scroll-header-panel,Fancy scrolling effects where the header animates between tall and condensed states,PolymerElements,v2.0.0,,2017-08-04 20:37:55,22,34,,,,,,,
171,paper-toast,A Material Design popup toast,PolymerElements,v2.0.0,,2017-06-16 17:35:22,27,24,,,,,,,
172,paper-input,A Material Design text field,PolymerElements,v2.0.1,,2017-08-05 16:38:40,87,122,,,,,,,
173,paper-tabs,Material Design tabs,PolymerElements,v2.0.0,,2017-08-05 09:49:20,38,43,,,,,,,
174,paper-styles,Shared styles for Material Design elements,PolymerElements,v2.0.0,,2017-07-31 19:29:13,92,71,,,,,,,
175,paper-ripple,Adds a Material Design ripple effect to UI elements,PolymerElements,v2.0.1,,2017-07-05 00:19:09,38,28,,,,,,,
176,paper-menu,A Material Design menu,PolymerElements,v1.3.0,,2017-07-31 08:50:58,29,45,,,,,,,
177,paper-listbox,,PolymerElements,v2.0.0,,2017-06-20 04:49:02,11,10,,,,,,,
178,paper-toolbar,A Material Design toolbar/appbar,PolymerElements,v2.0.0,,2017-08-04 17:21:19,31,35,,,,,,,
179,paper-item,Material Design list items,PolymerElements,v2.0.0,,2017-06-30 10:57:39,23,31,,,,,,,
180,paper-material,A Material Design container that looks like a lifted piece of paper,PolymerElements,v2.0.0,,2017-08-01 04:59:59,20,11,,,,,,,
181,paper-toggle-button,A Material Design toggle button,PolymerElements,v2.0.0,,2017-05-13 05:30:21,15,24,,,,,,,
182,paper-dialog-behavior,Makes an element a Material Design dialog,PolymerElements,v2.0.1,,2017-06-05 19:48:53,12,21,,,,,,,
183,paper-header-panel,A Material Design panel with top and bottom panes,PolymerElements,v2.0.0,,2017-05-30 09:36:24,25,29,,,,,,,
184,paper-radio-group,A group of Material Design radio buttons,PolymerElements,v2.0.0,,2017-07-21 12:30:24,12,24,,,,,,,
185,neon-animation,Polymer + Web Animations,PolymerElements,v2.0.1,,2017-08-07 11:35:11,131,102,,,,,,,
186,paper-checkbox,A Material Design checkbox,PolymerElements,v2.0.1,,2017-07-30 19:20:45,45,48,,,,,,,
187,paper-badge,Material Design status descriptors for elements,PolymerElements,v2.0.0,,2017-06-29 13:19:28,24,21,,,,,,,
188,paper-radio-button,A Material Design radio button,PolymerElements,v2.0.0,,2017-06-20 16:37:13,12,20,,,,,,,
189,iron-validator-behavior,Implements a custom input or form validator,PolymerElements,v2.0.0,,2017-07-23 15:51:41,8,8,,,,,,,
190,paper-button,A button à la Material Design,PolymerElements,v2.0.0,,2017-08-04 17:20:43,72,60,,,,,,,
191,paper-card,A Material Design piece of paper with unique related data,PolymerElements,v2.0.0,,2017-08-03 07:38:55,69,58,,,,,,,
192,paper-drawer-panel,A Material Design two-section responsive panel,PolymerElements,v2.0.0,,2017-08-10 07:49:42,23,42,,,,,,,
193,paper-fab,A material design floating action button,PolymerElements,v2.0.0,,2017-08-04 16:56:44,26,17,,,,,,,
194,paper-dialog-scrollable,A scrollable area used in a Material Design dialog,PolymerElements,v2.1.0,,2017-05-30 22:10:56,10,13,,,,,,,
195,paper-progress,A Material Design progress,PolymerElements,v2.0.1,,2017-08-05 16:40:21,24,31,,,,,,,
196,paper-dialog,A Material Design dialog,PolymerElements,v2.0.0,,2017-08-08 15:33:34,36,30,,,,,,,
197,paper-dropdown-menu,A Material Design browser select element,PolymerElements,v2.0.0,,2017-07-11 21:36:10,46,86,,,,,,,
198,paper-icon-button,A Material Design icon button,PolymerElements,v2.0.0,,2017-07-21 05:04:17,23,29,,,,,,,
199,iron-overlay-behavior,Makes an element an overlay with an optional backdrop,PolymerElements,v2.0.0,,2017-08-05 12:22:50,23,47,,,,,,,
200,iron-location,A Polymer element that manages binding to the page's URL.,PolymerElements,v2.0.1,,2017-08-05 12:23:01,19,32,,,,,,,
201,iron-range-behavior,Managing a numeric value within a given range,PolymerElements,v2.0.0,,2017-05-13 05:34:15,8,8,,,,,,,
202,iron-media-query,Data binding for a CSS Media Query,PolymerElements,v2.0.0,,2017-08-05 12:22:55,13,4,,,,,,,
203,marked-element,Element wrapper for the marked library,PolymerElements,v2.2.0,,2017-08-08 03:09:25,61,24,,,,,,,
204,iron-pages,Simple content switcher,PolymerElements,v2.0.0,,2017-08-05 12:22:45,31,11,,,,,,,
