,repo,description,owner,version,wc_url,updated_at,stars,forks,screenshot_url,samplecode_url,supported_browsers,rating,comment,external,status
0,metaui,,isuwang,v0.0.1,,2017-08-11 07:01:18,3,0,,,,,,,
1,base-layout,acordeonl base layout ,acordeonl,v1.0.5,,2017-07-20 03:26:26,1,0,,,,,,,
2,recording-card,card for displaying recording information,acordeonl,v1.0.2,,2016-11-18 07:23:37,0,0,,,,,,,
3,message-card,message card for acordeonl gui,acordeonl,v1.0.2,,2016-11-18 05:21:52,0,0,,,,,,,
4,page-views,Element for displaying views in website page,acordeonl,v1.0.1,,2016-11-18 05:55:23,0,0,,,,,,,
5,animation-behaviors,acordeonl animation behavior,acordeonl,v1.0.3,,2016-11-18 05:08:19,0,0,,,,,,,
6,prompt-dialog,Dialog for prompting user,acordeonl,v1.0.2,,2016-11-18 04:56:19,0,0,,,,,,,
7,recording-list,Element for recording list on acordeonl GUI,acordeonl,v1.0.2,,2017-07-20 03:25:37,1,0,,,,,,,
8,star-rating,acordeonl star-rating component,acordeonl,v2.0.1,,2017-03-24 21:26:05,6,3,,,,,,,
9,collection-dialog,acordeonl collection dialog,acordeonl,v1.0.3,,2016-11-18 04:52:43,0,0,,,,,,,
10,ajax-manager,acordeonl ajax manager,acordeonl,v1.0.4,,2016-11-18 03:53:22,0,0,,,,,,,
11,view-json,no-dependencies v1 web component for viewing json or text,zvakanaka,1.1.2,,2017-08-10 17:41:57,0,0,,,,,,,
12,news-marquee,"A Polymer element for a scrolling marquee, as common on news websites.",zacharytamas,1.0.0,,2017-08-09 22:18:08,1,0,,,,,,,
13,nodecg-replicant,A declarative implementation of NodeCG Replicants for use in Polymer 2. Works with NodeCG v0.9.x.,NodeCGElements,v1.0.1,,2017-06-01 20:36:53,0,0,,,,,,,
14,page-load-progress,Polymer-based web component progress bar for the page load status,BrightspaceUI,v2.0.0,,2017-04-21 14:30:25,0,0,,,,,,,
15,lrnsys-button,"Button with hover, color and icon support",LRNWebComponents,0.5.6,,2017-07-10 02:30:01,0,0,,,,,,,
16,datetime-picker,"A minimal picker for date and time for Polymer, that preferes to use the native input",fooloomanzoo,2.1.2,,2017-08-09 16:47:53,7,4,,,,,,,
17,lss-manage-side-menu,,LssPolymerElements,2.1.23,,2017-07-24 16:54:55,0,0,,,,,,,
18,loading-spinner,Polymer-based web component for a loading spinner,BrightspaceUI,v6.0.0,,2017-04-21 14:30:04,0,2,,,,,,,
19,range-datepicker,range-datepicker provides a simple datepicker with range (see demo),RoXuS,0.0.13,,2017-08-03 12:50:36,11,3,,,,,,,
20,alump-dbar,Distribution Bar Polymer 2 element,alump,v0.1.3,,2017-08-01 23:25:38,0,0,,,,,,,
21,firebase-nest,polymerfire based util to construct nested and lookup datastructure,PolymerEl,v0.11.2,,2017-05-03 23:43:59,6,1,,,,,,,
22,chat-window,A simple and flexible chat window for listing messages.,jifalops,0.6.0,,2017-08-11 03:38:03,16,5,,,,,,,
23,from-now,A polymer element that strategically updates a time from (or to) now using Momentjs.,jifalops,1.0.1,,2017-03-28 16:46:08,3,0,,,,,,,
24,tags-input,Input element for defining one or more tags.,jifalops,1.1.0,,2017-06-02 01:51:55,3,3,,,,,,,
25,vaadin-grid,"vaadin-grid is a free, high quality data grid / data table element, built using Polymer",vaadin,v3.0.1,,2017-08-11 02:25:57,267,111,,,,,,,
26,fitbit-component,Fitbit component for the polymer library,bradysterling,v1.0.0,,2017-08-09 15:15:06,1,0,,,,,,,
27,plastic-image,A Polymer 2.0 element which adds extra plasticity to <iron-image> with support for srcset and  lazy loading,mlisook,1.0.8,,2017-08-10 13:20:46,7,4,,,,,,,
28,properties-from-ancestor-behavior,Behavior for a web component to take a property value from the closest ancestor that has it,AqoviaElements,v1.2.2,,2017-08-04 04:32:18,2,1,,,,,,,
29,paper-tooltip,A Material Design tooltip,PolymerElements,v2.0.1,,2017-08-09 04:33:20,22,33,,,,,,,
30,proportional-height-box,Polymer component to resize child element to proportional height based on the width similar to fitvids,diddledan,2.0.1,,2016-02-12 19:53:14,0,2,,,,,,,
31,flag-icons,A set of flags for use with iron-icon,Dabolus,2.0.0,,2017-08-10 03:48:54,4,0,,,,,,,
32,dom-flip,🔀 Animate all the lists! FLIP move for Polymer v2!,Festify,v0.1.4,,2017-08-03 21:43:37,1,0,,,,,,,
33,iron-flag-icons,Polymer icon set for flags,Collaborne,1.0.0,,2017-08-08 13:11:10,1,0,,,,,,,
34,paper-tags,"paper tags, input tags and paper-tags dropdown for selecting multiple items in a list",PolymerEl,v1.8.1,,2017-08-10 13:28:43,10,9,,,,,,,
35,Scroll-Top,Polymer 2.0 scroll to top component,MarkJamesHoward,0.2.2,,2017-08-10 13:21:08,1,0,,,,,,,
36,iron-ajax,Easily make ajax requests,PolymerElements,v2.0.5,,2017-08-09 07:48:55,93,101,,,,,,,
37,paper-time-input,Polymer element to accept a time with paper-input & paper-dropdown-menu,ryanburns23,v2.0.4,,2017-08-08 18:29:18,10,5,,,,,,,
38,mqtt-connection,Polymer Element that connects to a MQTT broker,hobbyquaker,v1.0.1,,2017-08-08 12:54:02,2,0,,,,,,,
39,ink-input,"Polymer handwriting input element, via Pointer Events and paper.js",H-Plus-Time,v0.0.3,,2017-08-07 17:24:14,0,0,,,,,,,
40,mqtt-wrapper,Polymer Element that wraps other Elements and links them to MQTT topics,hobbyquaker,v1.4.0,,2017-08-08 12:53:02,3,0,,,,,,,
41,wordpress-posts,Polymer element to show Wordpress posts,TherapyChat,v1.0.5,,2017-07-24 16:28:38,2,0,,,,,,,
42,lrnsys-layout,Layout items for building interfaces for education,LRNWebComponents,0.1.7,,2017-07-01 05:36:34,0,0,,,,,,,
43,lrnsys-render-html,,LRNWebComponents,0.0.2,,2017-08-04 20:22:25,0,0,,,,,,,
44,lrn-markdown-editor,,LRNWebComponents,0.0.5,,2017-08-03 20:16:31,0,1,,,,,,,
45,granite-qrcode-scanner,A webcomponent to scan a QR Code,LostInBrittany,1.5.3,,2017-07-18 15:44:01,8,1,,,,,,,
46,granite-file-saver,A lightweight element to save content to a file on the local filesystem,LostInBrittany,1.1.1,,2017-07-18 15:43:10,4,1,,,,,,,
47,granite-qrcode-generator,A webcomponent to render a QR Code,LostInBrittany,1.1.3,,2017-06-19 16:11:32,8,3,,,,,,,
48,granite-file-reader,A lightweight element to read a file from the filesystem,LostInBrittany,1.2.2,,2017-07-18 15:42:40,6,8,,,,,,,
49,granite-clipboard,A lightweight element wrapping-up clipboard.js,LostInBrittany,1.1.1,,2017-07-18 15:41:16,5,3,,,,,,,
50,granite-bootstrap,Wrapping of *Bootstrap CSS* as Polymer web componentto be used as shared style in full ShadowDOM mode,LostInBrittany,3.3.7-5,,2017-08-09 17:49:58,6,1,,,,,,,
51,granite-alert,A set of Bootstrap-like alert elements.,LostInBrittany,1.2.0,,2017-07-18 15:40:19,2,2,,,,,,,
52,ace-widget,Polymer wrap around Ace editor,LostInBrittany,1.3.3,,2017-07-18 15:39:02,13,11,,,,,,,
53,flowbased-polymer,Do flowbased programming with polymer.,veith,v2.3.0,,2017-08-10 13:29:10,17,3,,,,,,,
54,paper-dropdown,"A wrapper for paper-dropdown-menu to enable various features like multi-select, search / filter of items, key value pair and 2-way binding on value.",pushkar8723,v1.0.5,,2017-08-08 06:50:07,1,2,,,,,,,
55,billboard-charts,"Web component interface to billboard.js - a charting library forked from c3, which uses d3",bahrus,0.0.3,,2017-08-06 13:08:49,0,0,,,,,,,
56,inspector-component,Inspector Component,pankajpatel,0.1.2,,2017-08-06 12:13:15,5,1,,,,,,,
57,prendus-question-elements,Fully embeddable custom HTML elements for questions made with AssessML.,Prendus,v0.1.15,,2017-07-11 18:02:50,5,0,,,,,,,
58,lrnsys-comment,Comment presentation in listings and individually,LRNWebComponents,0.0.3,,2017-07-27 21:14:04,0,1,,,,,,,
59,scheduler-component,A Web Component wrapper for FullCalendar library that uses Polymer version 2.0 and ES6.,HaithemMosbahi,v1.3.3,,2017-07-25 00:05:48,6,3,,,,,,,
60,multi-verse,polymer elements for fast and modular multivariate analysis,PolymerEl,v0.7.12,,2017-06-01 18:55:58,15,0,,,,,,,
61,multi-chart,Polymer building blocks elements for building charts and visualization (based on d3.js v4),PolymerEl,v0.7.9,,2017-08-10 01:07:19,10,1,,,,,,,
62,polymer-uploader,A file uploader component for Polymer,saadixl,v1.2.0,,2017-08-04 23:46:46,2,0,,,,,,,
63,sc-three-stage-video,"A Polymer 2.x element for playing video assets with discrete entert, exit, and loop parts.",SupportClass,v1.0.0,,2017-08-05 00:36:47,0,0,,,,,,,
64,xtal-json-editor,Polymer web component wrapper around the JSONEditor library,bahrus,0.0.5,,2017-07-02 00:51:11,0,0,,,,,,,
65,file-uploader,Polymer-based web component for D2L file uploader,BrightspaceUI,v0.2.0,,2017-07-04 15:16:03,0,3,,,,,,,
66,hierarchical-view,Polymer-based web component for nested views,BrightspaceUI,v1.0.1,,2017-08-05 00:01:05,2,2,,,,,,,
67,colors,CSS custom properties and Sass variables for the D2L color palette,BrightspaceUI,v3.1.0,,2017-06-28 13:44:18,2,3,,,,,,,
68,text-input,Polymer-based web component for D2L text inputs,BrightspaceUI,v0.0.2,,2017-07-17 21:27:12,0,2,,,,,,,
69,image-action,Polymer-based web components for D2L image-actions,BrightspaceUI,v2.0.0,,2017-04-21 14:27:48,0,1,,,,,,,
70,menu,Polymer-based web component for a D2L menus,BrightspaceUI,v1.0.3,,2017-08-01 03:16:24,0,2,,,,,,,
71,dropdown,Polymer-based web component for a D2L dropdown,BrightspaceUI,v6.0.1,,2017-04-21 14:25:20,0,7,,,,,,,
72,icons,"SVGs, Polymer web components and SASS mixins for D2L icons",BrightspaceUI,v4.4.1,,2017-06-18 12:31:04,1,19,,,,,,,
73,typography,Polymer and Sass custom styles/mixins for applying D2L typography,BrightspaceUI,v6.0.0,,2017-04-21 14:22:37,0,7,,,,,,,
74,button,Polymer-based web components for D2L buttons,BrightspaceUI,v4.0.0,,2017-08-05 19:34:42,2,9,,,,,,,
75,link,Polymer-based web component and Sass mixins for a D2L link,BrightspaceUI,v4.0.0,,2017-04-21 14:23:56,0,4,,,,,,,
76,google-map,Google Maps web components ,GoogleWebComponents,v2.0.1,,2017-08-03 17:21:06,323,208,,,,,,,
77,checkbox,Polymer-based web component for D2L checkboxes,BrightspaceUI,v0.1.2,,2017-06-08 19:16:48,0,0,,,,,,,
78,app-localize-chrome-i18n-mixin,Mixin to localize Polymer applications with Chrome i18n translation files,Collaborne,v2.2.1,,2017-08-03 08:10:17,0,0,,,,,,,
79,paper-article,paper-article for layouting with color 🌈,wasc-io,v2.1.4,,2017-07-06 21:00:06,3,0,,,,,,,
80,custom-elements,A compilation of Joomla 4 Custom Elements.,joomla-projects,v0.0.9,,2017-08-04 13:46:40,4,3,,,,,,,
81,ag-grid-webcomponent,,ag-grid,11.0.0,,2017-08-04 09:42:41,0,0,,,,,,,
82,ag-grid-polymer,,ag-grid,12.0.1,,2017-08-07 09:09:43,2,0,,,,,,,
83,image-carousel,Polymer element for image carousel,a1626,v2.0.0,,2017-07-16 02:28:59,2,0,,,,,,,
84,cosmoz-bottom-bar,A responsive bottom-bar that dynamically displays action buttons and menu,Neovici,0.9.2,,2017-08-03 12:59:11,1,2,,,,,,,
85,iron-ga,A simple Webcomponent for analyzing your traffic with Google Analytics 📊,wasc-io,v2.0.8,,2017-08-05 21:23:46,1,0,,,,,,,
86,geo-location,Web component element for the Geolocation API,ebidel,2.0.1,,2017-08-04 17:42:45,75,25,,,,,,,
87,iron-graphql,Simple functional Polymer Element for querying GraphQL APIs,wasc-io,1.2.2,,2017-07-26 22:32:36,2,0,,,,,,,
88,identicon-avatar,:space_invader: GitHub style identicon avatar,Granze,v2.0.1,,2017-08-03 18:27:55,13,0,,,,,,,
89,scratch-card,"Scratch card  is based on HTML5, it generates canvas on the fly and is optimized for all modern browsers and has touch support for mobile devices. You can use it to make scratch cards, coupons, promotionnal game and even advertisement.",SaifJerbi,v1.0.1,,2017-08-01 09:38:54,6,0,,,,,,,
90,code-sample,A wrapper element for highlight.js,kcmr,v0.3.1,,2017-08-03 18:29:46,6,0,,,,,,,
91,flip-clock,"A flip clock, timer and countdown made with Polymer",Granze,v2.0.1,,2017-08-03 12:57:15,60,20,,,,,,,
92,se-datalist,"Wrapper around datalist and select tags, to provide datalist whenever it possible and fallback to select otherwise.",andrewmiroshnichenko,v1.0.1,,2017-08-01 08:59:28,0,0,,,,,,,
93,multi-typeahead,,jlsanchezsanz,1.0.1,,2017-08-03 11:41:54,1,2,,,,,,,
94,xtal-props,"View / Edit an object, debug web components",bahrus,0.0.2,,2017-07-30 01:10:47,0,0,,,,,,,
95,paper-chip,"Polymer 2.x Chips represent complex entities in small blocks, such as a contact.",ThomasCybulski,v2.0.10,,2017-08-05 23:12:04,16,7,,,,,,,
96,vaadin-date-picker,vaadin-date-picker is a free Web Component providing a date selection field with scrollable month calendar. Built using Polymer,vaadin,v2.0.1,,2017-08-02 08:25:31,92,35,,,,,,,
97,gpt-ad,A Polymer element for defining GPT Ads in Polymer apps.,googleads,v1.0.0,,2017-08-01 22:16:30,0,0,,,,,,,
98,io-menu,A custom Polymer menu with a simple API and lots of customization options,arodic,v1.6.0,,2017-08-09 22:46:41,3,8,,,,,,,
99,io-options,Custom Polymer element for option-select input,arodic,v1.6.0,,2016-08-20 10:49:34,0,1,,,,,,,
100,app-datepicker,A datepicker element built from scratch with Polymer,motss,v2.11.1,,2017-08-10 21:14:36,74,23,,,,,,,
101,google-recaptcha,A Polymer element for google recaptcha V2 and invisible (Polymer 1.9 - 2.x),Zecat,v0.2.2,,2017-06-11 23:20:28,0,0,,,,,,,
102,device-orientation,Web Components (with Polymer) to detecting device orientation and motion,abdonrd,v2.0.2,,2017-08-02 12:10:52,8,1,,,,,,,
103,prism-event-bus,A Polymer web component provides compact event bus that simplifies communication between elements,Prhythm,2.0.0,,2017-08-01 04:09:14,0,0,,,,,,,
104,polymer-tilt,Parallax tilt hover effect for Polymer Component (based Polymer2),YingshanDeng,1.0.2,,2017-08-01 09:16:59,0,0,,,,,,,
105,wysiwyg-e,A what-you-see-is-what-you-get editor created with Polymer,miztroh,v2.0.5,,2017-08-04 19:33:02,69,13,,,,,,,
106,paper-swatch-picker,A color picker with all the Material Design colours,PolymerElements,v2.0.1,,2017-08-01 17:57:06,29,22,,,,,,,
